code,service,time,from
RG000835504IS,InternationalLetter,2022-07-08T15:11:47+00:00,Pósthús Síðumúla 3-5
RG000835518IS,InternationalLetter,2022-07-08T15:04:09+00:00,Pósthús Kópavogi
RG000835521IS,InternationalLetter,2022-07-11T16:04:05+00:00,Pósthús Hagatorgi 1
RG000835535IS,InternationalLetter,2022-07-08T15:26:51+00:00,Pósthús Reykjanesbæ
RG000835549IS,InternationalLetter,2022-07-08T16:01:38+00:00,Pósthús Húsavík
RG000835552IS,InternationalLetter,2022-07-12T17:20:32+00:00,Póstmiðstöð
RG000835566IS,InternationalLetter,2022-07-12T17:15:01+00:00,Póstmiðstöð
RG000835570IS,InternationalLetter,2022-07-12T17:14:55+00:00,Póstmiðstöð
RG000835583IS,InternationalLetter,2022-07-08T16:15:40+00:00,Pósthús Síðumúla 3-5
RG000835597IS,InternationalLetter,2022-07-08T16:19:28+00:00,Pósthús Akranesi
RG000835606IS,InternationalLetter,2022-07-08T16:38:14+00:00,Pósthús Reyðarfirði
RG000835610IS,InternationalLetter,2022-07-11T12:42:56+00:00,Póstmiðstöð
RG000835623IS,InternationalLetter,2022-07-11T12:02:27+00:00,Pósthús Hagatorgi 1
CG004005184IS,InternationalParcel,na,na
RG000837006IS,InternationalLetter,2022-07-11T16:38:24+00:00,Pósthús Hagatorgi 1
RG000837010IS,InternationalLetter,2022-07-11T16:53:35+00:00,Pósthús Kópavogi
RG000837023IS,InternationalLetter,2022-07-11T16:52:54+00:00,Pósthús Akureyri
RG000837037IS,InternationalLetter,2022-07-11T16:59:06+00:00,Pósthús Hagatorgi 1
RG000837045IS,InternationalLetter,2022-07-13T15:40:49+00:00,Pósthús Akureyri
RG000837054IS,InternationalLetter,2022-07-12T09:39:33+00:00,Pósthús Höfðabakka 9 C
RG000837068IS,InternationalLetter,2022-07-13T16:01:07+00:00,Pósthús Reykjanesbæ
RG000837071IS,InternationalLetter,2022-07-13T14:54:04+00:00,Pósthús Djúpavogi
RG000837085IS,InternationalLetter,na,na
RG000837099IS,InternationalLetter,2022-07-13T12:19:43+00:00,Pósthús Hagatorgi 1
RG000837108IS,InternationalLetter,2022-07-12T12:59:38+00:00,Pósthús Hagatorgi 1
RG000837111IS,InternationalLetter,2022-07-12T12:59:38+00:00,Pósthús Hagatorgi 1
RG000837125IS,InternationalLetter,2022-07-12T17:00:36+00:00,Póstmiðstöð
CG004005330IS,InternationalParcel,2022-04-11T12:30:12+00:00,Pósthús Akureyri
RG000837139IS,InternationalLetter,2022-07-12T09:46:31+00:00,Pósthús Síðumúla 3-5
RG000837142IS,InternationalLetter,2022-07-12T12:43:35+00:00,Pósthús Seyðisfirði
RG000837156IS,InternationalLetter,2022-07-12T17:03:38+00:00,Póstmiðstöð
RG000837160IS,InternationalLetter,2022-07-12T17:03:43+00:00,Póstmiðstöð
RG000837173IS,InternationalLetter,2022-07-12T15:14:11+00:00,Pósthús Síðumúla 3-5
RG000837187IS,InternationalLetter,2022-07-12T17:03:48+00:00,Póstmiðstöð
RG000837195IS,InternationalLetter,2022-07-12T15:14:11+00:00,Pósthús Síðumúla 3-5
RG000837200IS,InternationalLetter,2022-07-12T17:03:28+00:00,Póstmiðstöð
RG000837213IS,InternationalLetter,2022-07-12T15:14:11+00:00,Pósthús Síðumúla 3-5
RG000837227IS,InternationalLetter,2022-07-12T17:03:33+00:00,Póstmiðstöð
RG000837235IS,InternationalLetter,2022-07-12T17:00:28+00:00,Póstmiðstöð
RG000837244IS,InternationalLetter,2022-07-12T15:14:11+00:00,Pósthús Síðumúla 3-5
RG000837258IS,InternationalLetter,2022-07-12T17:02:23+00:00,Póstmiðstöð
RG000837261IS,InternationalLetter,2022-07-12T17:03:09+00:00,Póstmiðstöð
RG000837275IS,InternationalLetter,2022-07-12T15:14:11+00:00,Pósthús Síðumúla 3-5
RG000837289IS,InternationalLetter,2022-07-12T15:14:11+00:00,Pósthús Síðumúla 3-5
RG000837292IS,InternationalLetter,2022-07-12T15:14:11+00:00,Pósthús Síðumúla 3-5
RG000837301IS,InternationalLetter,2022-07-12T10:59:02+00:00,Pósthús Kópavogi
CG004005502IS,InternationalParcel,2022-04-11T13:22:44+00:00,Pósthús Kópavogi
RG000837315IS,InternationalLetter,2022-07-12T10:06:50+00:00,Pósthús Höfðabakka 9 C
RG000837329IS,InternationalLetter,2022-07-12T10:07:30+00:00,Pósthús Akranesi
RG000837332IS,InternationalLetter,2022-07-12T10:21:22+00:00,Pósthús Höfðabakka 9 C
RG000837346IS,InternationalLetter,2022-07-12T14:37:08+00:00,Pósthús Hafnarfirði
RG000837350IS,InternationalLetter,2022-07-12T14:37:08+00:00,Pósthús Hafnarfirði
RG000837363IS,InternationalLetter,2022-07-12T09:57:54+00:00,Pósthús Höfðabakka 9 C
RG000837377IS,InternationalLetter,2022-07-12T11:59:21+00:00,Pósthús Hagatorgi 1
RG000837385IS,InternationalLetter,2022-07-12T11:59:21+00:00,Pósthús Hagatorgi 1
RG000837394IS,InternationalLetter,2022-07-12T11:59:21+00:00,Pósthús Hagatorgi 1
RG000837403IS,InternationalLetter,2022-07-12T11:59:21+00:00,Pósthús Hagatorgi 1
RG000837417IS,InternationalLetter,2022-07-12T10:47:02+00:00,Pósthús Reykjanesbæ
RG000837425IS,InternationalLetter,2022-07-12T14:10:38+00:00,Pósthús Síðumúla 3-5
CG004005635IS,InternationalParcel,2022-04-11T13:50:15+00:00,Pósthús Höfðabakka 9 C
CG004005706IS,InternationalParcel,na,na
RG000838001IS,InternationalLetter,2022-07-12T15:15:52+00:00,Pósthús Síðumúla 3-5
RG000838015IS,InternationalLetter,2022-07-12T15:20:50+00:00,Pósthús Borgarnesi
RG000838029IS,InternationalLetter,2022-07-13T13:57:47+00:00,Pósthús Hagatorgi 1
RG000838032IS,InternationalLetter,2022-07-12T15:28:06+00:00,Pósthús Akureyri
RG000838046IS,InternationalLetter,2022-07-12T15:34:01+00:00,Pósthús Reykjanesbæ
RG000838050IS,InternationalLetter,2022-07-12T15:42:33+00:00,Pósthús Síðumúla 3-5
CG004005768IS,InternationalParcel,na,na
RG000838063IS,InternationalLetter,na,na
RG000838077IS,InternationalLetter,2022-07-12T15:57:26+00:00,Pósthús Kópavogi
RG000838085IS,InternationalLetter,2022-07-13T14:11:54+00:00,Pósthús Höfðabakka 9 C
RG000838094IS,InternationalLetter,2022-07-12T16:04:52+00:00,Pósthús Höfðabakka 9 C
CG004005808IS,InternationalParcel,2022-04-11T14:33:25+00:00,Pósthús Reykjanesbæ
RG000838103IS,InternationalLetter,2022-07-12T16:23:57+00:00,Pósthús Sauðárkróki
CG004005811IS,InternationalParcel,na,na
